Date,Open,High,Low,Close,Adj Close,Volume
2021-12-17,5.976000,6.018000,5.924000,5.980000,5.980000,3844834
2021-12-20,5.870000,5.904000,5.770000,5.874000,5.874000,1622984
2021-12-21,5.894000,5.984000,5.894000,5.956000,5.956000,1049521
2021-12-22,5.944000,6.034000,5.926000,6.014000,6.014000,1042404
2021-12-23,6.014000,6.122000,5.990000,6.096000,6.096000,3667874
2021-12-27,6.064000,6.126000,6.064000,6.104000,6.104000,1199147
2021-12-28,6.076000,6.130000,6.066000,6.100000,6.100000,1049826
2021-12-29,6.070000,6.130000,6.070000,6.116000,6.116000,879158
2021-12-30,6.090000,6.114000,6.086000,6.108000,6.108000,871315
2022-01-03,6.102000,6.186000,6.102000,6.152000,6.152000,1736834
2022-01-04,6.188000,6.248000,6.138000,6.176000,6.176000,3017051
2022-01-05,6.300000,6.500000,6.210000,6.500000,6.500000,10512927
2022-01-06,6.410000,6.500000,6.410000,6.438000,6.438000,3172913
2022-01-07,6.414000,6.482000,6.394000,6.426000,6.426000,2010109
2022-01-10,6.434000,6.568000,6.430000,6.520000,6.520000,3042107
2022-01-11,6.540000,6.588000,6.510000,6.584000,6.584000,1453917
2022-01-12,6.590000,6.646000,6.548000,6.592000,6.592000,2461626
2022-01-13,6.576000,6.696000,6.572000,6.696000,6.696000,2633796
2022-01-14,6.546000,6.728000,6.542000,6.676000,6.676000,2462914
2022-01-17,6.676000,6.730000,6.628000,6.628000,6.628000,1446547
2022-01-18,6.612000,6.616000,6.500000,6.550000,6.550000,1843261
2022-01-19,6.550000,6.600000,6.534000,6.568000,6.568000,976130
2022-01-20,6.550000,6.606000,6.466000,6.496000,6.496000,1364831
2022-01-21,6.446000,6.446000,6.376000,6.440000,6.440000,1674571
2022-01-24,6.386000,6.424000,6.058000,6.088000,6.088000,2370106
2022-01-25,6.176000,6.256000,6.110000,6.200000,6.200000,2014242
2022-01-26,6.202000,6.268000,6.108000,6.164000,6.164000,1842897
2022-01-27,6.100000,6.308000,6.072000,6.286000,6.286000,1786524
2022-01-28,6.268000,6.268000,6.124000,6.160000,6.160000,2246446
2022-01-31,6.242000,6.242000,6.156000,6.232000,6.232000,1921905
2022-02-01,6.224000,6.334000,6.224000,6.322000,6.322000,1681490
2022-02-02,6.312000,6.356000,6.276000,6.292000,6.292000,1028986
2022-02-03,6.250000,6.304000,6.222000,6.246000,6.246000,811634
2022-02-04,6.310000,6.324000,6.000000,6.040000,6.040000,2730930
2022-02-07,6.084000,6.128000,5.996000,6.044000,6.044000,1498815
2022-02-08,6.038000,6.148000,6.010000,6.132000,6.132000,1543094
2022-02-09,6.150000,6.276000,6.092000,6.118000,6.118000,1883670
2022-02-10,6.132000,6.254000,6.088000,6.220000,6.220000,1943608
2022-02-11,6.170000,6.210000,5.988000,6.012000,6.012000,2841431
2022-02-14,5.930000,5.930000,5.702000,5.854000,5.854000,3881959
2022-02-15,5.786000,6.042000,5.784000,5.998000,5.998000,2265679
2022-02-16,6.002000,6.060000,5.860000,5.868000,5.868000,1735712
2022-02-17,5.938000,5.976000,5.810000,5.872000,5.872000,2286625
2022-02-18,5.910000,5.926000,5.746000,5.758000,5.758000,2110850
2022-02-21,5.760000,5.844000,5.578000,5.612000,5.612000,1673732
2022-02-22,5.510000,5.742000,5.408000,5.662000,5.662000,2046864
2022-02-23,5.746000,5.746000,5.584000,5.652000,5.652000,2570989
2022-02-24,5.500000,5.500000,5.010000,5.064000,5.064000,8091389
2022-02-25,5.158000,5.194000,4.889000,5.190000,5.190000,7442160
2022-02-28,5.050000,5.068000,4.752000,4.943000,4.943000,5179774
2022-03-01,4.929000,4.961000,4.601000,4.601000,4.601000,5550087
2022-03-02,4.601000,4.810000,4.515000,4.712000,4.712000,5287521
2022-03-03,4.712000,4.791000,4.636000,4.657000,4.657000,4897326
2022-03-04,4.569000,4.606000,4.326000,4.326000,4.326000,5387349
2022-03-07,4.140000,4.373000,3.900000,4.324000,4.324000,5368623
2022-03-08,4.254000,4.439000,4.213000,4.238000,4.238000,4500750
2022-03-09,4.446000,4.715000,4.384000,4.678000,4.678000,7700839
2022-03-10,4.703000,4.721000,4.439000,4.545000,4.545000,3168181
2022-03-11,4.589000,4.742000,4.497000,4.529000,4.529000,3583767
2022-03-14,4.631000,4.769000,4.612000,4.661000,4.661000,3248155
2022-03-15,4.587000,4.700000,4.522000,4.671000,4.671000,3429484
2022-03-16,4.740000,4.940000,4.713000,4.902000,4.902000,4326966
2022-03-17,4.860000,4.947000,4.742000,4.847000,4.847000,4300476
2022-03-18,4.832000,4.859000,4.712000,4.849000,4.849000,4774525
2022-03-21,4.857000,4.885000,4.770000,4.770000,4.770000,1636489
2022-03-22,4.784000,4.903000,4.771000,4.854000,4.854000,1588173
2022-03-23,4.903000,4.920000,4.753000,4.846000,4.846000,1943279
2022-03-24,4.850000,4.865000,4.730000,4.766000,4.766000,1878893
2022-03-25,4.813000,4.814000,4.740000,4.800000,4.800000,1417907
2022-03-28,4.837000,4.852000,4.740000,4.775000,4.775000,1654738
2022-03-29,4.816000,5.082000,4.811000,5.018000,5.018000,3793976
2022-03-30,4.979000,5.002000,4.867000,4.998000,4.998000,2539969
2022-03-31,5.010000,5.040000,4.894000,4.931000,4.931000,2150012
2022-04-01,4.931000,4.999000,4.899000,4.906000,4.906000,1512137
2022-04-04,4.910000,4.970000,4.842000,4.877000,4.877000,1366405
